seed,pmma,samples,epochs,batch,lr,iterations,best_val_MSE,R2_MTF@40cyc/mm,R2_Transmission,R2_ChromSpread(deg),R2_T@FOV
0,1,50000,80,512,0.001,7840,0.000003,0.99796,0.99989,0.99307,0.99990
0,1,8000,15,512,0.001,240,0.008274,-0.01267,0.64405,0.95080,0.64483
