w_mtf,w_T,w_ca,MTF,T,chrom_deg,T_fov,n,alpha,sigma,Lc,t,period,depth,duty
3.0,0.3,0.5,0.7158485054969788,0.10913623124361038,32.891334533691406,0.10259721428155899,1.498284101486206,7.170106255216524e-05,0.7348897457122803,396380.1875,1.864790916442871,435.9827575683594,398.4023742675781,0.4999977946281433
2.0,0.6,0.5,0.71587073802948,0.1093796119093895,32.89076232910156,0.10282591730356216,1.4989452362060547,7.168095908127725e-05,0.7323998212814331,396604.78125,1.8643121719360352,435.79180908203125,398.359375,0.500002384185791
1.0,1.0,0.5,0.7158743739128113,0.10962511599063873,32.88901138305664,0.10305657982826233,1.4995779991149902,7.167918374761939e-05,0.7294686436653137,396902.9375,1.863741397857666,435.61212158203125,398.3424072265625,0.500004768371582
0.6,2.0,0.5,0.6687089800834656,0.10962385684251785,29.863582611083984,0.10305348038673401,1.4981050491333008,5.53001300431788e-05,0.7167867422103882,395902.28125,1.9962782859802246,444.8381652832031,399.4021301269531,0.499999463558197
0.3,3.0,0.5,0.6684491634368896,0.10998021811246872,29.857030868530273,0.10338849574327469,1.4989910125732422,5.5284308473346755e-05,0.7164741158485413,395968.75,1.9962923526763916,444.59808349609375,399.4016418457031,0.49999940395355225
1.0,1.0,2.0,0.6975987553596497,0.10915554314851761,28.814680099487305,0.10261386632919312,1.4986778497695923,5.12138576596044e-05,0.7170105576515198,392946.125,1.9494402408599854,448.5704345703125,398.1054992675781,0.4997783303260803
