dataset,MSE,R2_MTF,R2_T,R2_chrom,R2_Tfov
its own training data,1.078748e-06,0.99963,0.99980,0.99999,0.99980
model-selection set (not trained on),1.304890e-06,0.99955,0.99979,0.99999,0.99979
test set (never trained on),1.861443e-06,0.99935,0.99979,0.99999,0.99979
brand-new set (generated today),1.337886e-06,0.99954,0.99979,0.99999,0.99979

deployed_checkpoint_seed,2
training_data_seed_used_for_audit,1002
never_seen_over_train_error_ratio,1.24
corr_error_vs_distance_to_training,+0.033
