rank,wavelength_nm,period_nm,depth_nm,duty,scalar_eta1,rcwa_TE,rcwa_TM,rcwa_unpol
1,450.0,437.98,400.0,0.5001,0.3930638656868217,0.18950801702306327,0.1418566927847122,0.16568235490388772
1,532.0,437.98,400.0,0.5001,0.3467757837639638,0.04791614066956374,0.08778474711279007,0.0678504438911769
1,635.0,437.98,400.0,0.5001,0.28307532082200665,0.02727872653495442,0.008710935930204278,0.017994831232579347
2,450.0,437.98,400.0,0.5001,0.3930638656868217,0.18950801702306327,0.1418566927847122,0.16568235490388772
2,532.0,437.98,400.0,0.5001,0.3467757837639638,0.04791614066956374,0.08778474711279007,0.0678504438911769
2,635.0,437.98,400.0,0.5001,0.28307532082200665,0.02727872653495442,0.008710935930204278,0.017994831232579347
3,450.0,437.98,399.99,0.5001,0.39305902662801784,0.18953111684917887,0.1418473619266359,0.1656892393879074
3,532.0,437.98,399.99,0.5001,0.3467673720091943,0.04791670882055647,0.08778088260758547,0.06784879571407097
3,635.0,437.98,399.99,0.5001,0.2830661187832853,0.02727902316677928,0.008711156853159213,0.017995090009969246
4,450.0,437.98,400.0,0.5001,0.3930638656868217,0.18950801702306327,0.1418566927847122,0.16568235490388772
4,532.0,437.98,400.0,0.5001,0.3467757837639638,0.04791614066956374,0.08778474711279007,0.0678504438911769
4,635.0,437.98,400.0,0.5001,0.28307532082200665,0.02727872653495442,0.008710935930204278,0.017994831232579347
5,450.0,437.98,400.0,0.5001,0.3930638656868217,0.18950801702306327,0.1418566927847122,0.16568235490388772
5,532.0,437.98,400.0,0.5001,0.3467757837639638,0.04791614066956374,0.08778474711279007,0.0678504438911769
5,635.0,437.98,400.0,0.5001,0.28307532082200665,0.02727872653495442,0.008710935930204278,0.017994831232579347
