w_mtf,w_T,w_ca,MTF,T,walkoff_mm,T_fov,n,alpha,sigma,Lc,t,period,depth,duty
3.0,0.3,0.5,0.46530863642692566,0.012660031206905842,1.5245260000228882,0.011903776787221432,1.493690013885498,5.142548616277054e-05,0.7218183875083923,391203.6875,1.9901447296142578,448.7832946777344,185.69346618652344,0.4499426484107971
2.0,0.6,0.5,0.45967522263526917,0.012252391315996647,1.6095428466796875,0.0115203270688653,1.493690013885498,5.576426337938756e-05,0.703033447265625,391676.3125,1.9839179515838623,446.5007019042969,190.15818786621094,0.4499856233596802
1.0,1.0,0.5,0.4559498131275177,0.012220398522913456,1.6497809886932373,0.011491996236145496,1.493690013885498,5.397960194386542e-05,0.703945517539978,387007.9375,1.3184232711791992,445.55816650390625,200.0045928955078,0.4495961666107178
0.6,2.0,0.5,0.46038198471069336,0.01330509688705206,1.53554368019104,0.012510121800005436,1.493690013885498,5.108040204504505e-05,0.702359139919281,398250.84375,1.9458625316619873,448.462646484375,209.83970642089844,0.4000532329082489
0.3,3.0,0.5,0.4615730941295624,0.01345351617783308,1.5186161994934082,0.012652019038796425,1.493690013885498,5.160406726645306e-05,0.7121850848197937,393372.4375,1.2706105709075928,448.9586486816406,209.96914672851562,0.40117645263671875
1.0,1.0,2.0,0.4626246988773346,0.013419386930763721,1.51752769947052,0.012617594562470913,1.493690013885498,5.340727875591256e-05,0.7025519609451294,395265.46875,1.983966588973999,448.9912109375,205.00221252441406,0.40025457739830017
